Ngày,Đơn hàng,Khách hàng,Mã hàng,Tên hàng,ĐVT 1,ĐVT 2,Số lượng 1,Số lượng 2,Ngày dự kiến giao hàng,Ghi chú
9/6/2023,SO2309-0012,P &  P DONGWON/ SEOGANG DISTRIBUTION,TPH455068G73VBTDW23121C1,"[121C1] Bao TP-PP, màu vàng biên trong, may miệng luồn dây 130cm-2g, K45.5x68PB, lồng LDPE-K48x75x19g, TL: PP-52g + Dây-2g + PE-19g = 73g/bộ, MK: DW23 - 121C1. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",Bộ,KG,3000,219,9/15/2023,
9/6/2023,SO2309-0012,P &  P DONGWON/ SEOGANG DISTRIBUTION,TPH455066G76VBTDW23121C2,"[121C2] Bao TP-PP, màu vàng biên trong, gập miệng vào trong 4cm (+/-1), K45.5x66PB, lồng LDPE-K48x75x19g, TL: PP-57g + PE-19g = 76g/bộ, MK: DW23 - 121C2 [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",Bộ,KG,2000,152,9/15/2023,
9/7/2023,SO2309-0016,P &  P DONGWON/ SEOGANG DISTRIBUTION,TPH455068G73CAMDW23.106A,"[106A] Bao TP-PP, màu cam, may miệng luồn dây 130cm-2g, K45.5x68PB, lồng LDPE-K48x75x19g, TL: PP-52g + Dây-2g + PE-19g = 73g/bộ, MK: DW23 - 106A. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",Bộ,KG,30000,2190,9/20/2023,
9/7/2023,SO2309-0016,P &  P DONGWON/ SEOGANG DISTRIBUTION,TPH455068G73TDUDW23.106B,"[106B] Bao TP-PP, màu trắng đục, may miệng luồn dây 130cm-2g, K45.5x68PB, lồng LDPE-K48x75x19g, TL: PP-52g + Dây-2g + PE-19g = 73g/bộ, MK: DW23 - 106B. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",Bộ,KG,5000,365,9/20/2023,
9/7/2023,SO2309-0017,P &  P DONGWON/ SEOGANG DISTRIBUTION,TPH455066G70CAMDW23.107A,"[107A] Bao TP-PP, màu cam, gập miệng vào trong 4cm (+/-1), K45.5x66PB, lồng HDPE-K48x75x13g, TL: PP-57g + PE-13g = 70g/bộ, MK: DW23 - 107A [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",Bộ,KG,20000,1400,9/20/2023,
9/7/2023,SO2309-0016,P &  P DONGWON/ SEOGANG DISTRIBUTION,TPH455068G67CAMDW23.108A,"[108A] Bao TP-PP, màu cam, may miệng luồn dây 130cm-2g, K45.5x68PB, lồng HDPE-K48x75x13g, TL: PP-52g + Dây-2g + PE-13g = 67g/bộ, MK: DW23 - 108A. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",Bộ,KG,5000,335,9/20/2023,
9/7/2023,SO2309-0016,P &  P DONGWON/ SEOGANG DISTRIBUTION,TPH455068G67CAMDW23.109A,"[109A] Bao TP-PP, màu cam, may miệng luồn dây 130cm-2g, K45.5x68PB, lồng HDPE-K48x75x13g, TL: PP-52g + Dây-2g + PE-13g = 67g/bộ, MK: DW23 - 109A. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",Bộ,KG,15000,1005,9/20/2023,
9/7/2023,SO2309-0016,P &  P DONGWON/ SEOGANG DISTRIBUTION,TPH455068G67TDUDW23.109B,"[109B] Bao TP-PP, màu trắng đục, may miệng luồn dây 130cm-2g, K45.5x68PB, lồng HDPE-K48x75x13g, TL: PP-52g + Dây-2g + PE-13g = 67g/bộ, MK: DW23 - 109B. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",Bộ,KG,5000,335,9/20/2023,
9/7/2023,SO2309-0016,P &  P DONGWON/ SEOGANG DISTRIBUTION,TPH455068G73CAMDW23.110A,"[110A] Bao TP-PP, màu cam, may miệng luồn dây 130cm-2g, K45.5x68PB, lồng LDPE-K48x75x19g, TL: PP-52g + Dây-2g + PE-19g = 73g/bộ, MK: DW23 - 110A. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",Bộ,KG,15000,1095,9/20/2023,
9/7/2023,SO2309-0016,P &  P DONGWON/ SEOGANG DISTRIBUTION,TPH455068G73XBTDW23.110B,"[110B] Bao TP-PP, màu xanh lá biên trong, may miệng luồn dây 130cm-2g, K45.5x68PB, lồng LDPE-K48x75x19g, TL: PP-52g + Dây-2g + PE-19g = 73g/bộ, MK: DW23 - 110B. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",Bộ,KG,10000,730,9/20/2023,
