Đơn hàng,KHSX,Khách hàng,Mã hàng,Tên hàng,Note,BOM,Loại hàng,Ngày giao,Tỉ lệ,Số lượng 1,Số lượng 2
SO2402-0037,MP24/02-045,"BANGKOK POLYSACK CO.,LTD",THACUTLA107080080057TRDU,"Manh PP, trắng đục, K107cm, MĐ: 8.0x8.0, TL: 57.78g/m. [6000m/cuộn; 54gsm]","Đơn hàng Bangkok, cont 40ft, giao dự kiến đến cuối tháng 4",Version 1,,3/2/2024,0.05778,3552000,205234.56
SO2402-0037,MP24/02-045,"BANGKOK POLYSACK CO.,LTD",SOI-MTD-02-1,"Sợi PP, trắng đục, 700D, 2.91mm. [13.3%]","Đơn hàng Bangkok, cont 40ft, giao dự kiến đến cuối tháng 4",Version 1,,3/2/2024,0.05778,3552000,205234.56
SO2402-0022,MP24/02-046,CÔNG TY TNHH VIỆT NAM FUKUNAGA ENGINEERING,03CAT-TU001-04-VMS0,"Miếng may khóa hình sao, màu trắng, có tráng 10cm x 10cm, TL: 0.99g/cái.","ĐH FUKUNAGA 500 CÁI, gửi khách 4 mẫu vào ngày 11/3 để khách duyệt trước khi sx đại trà.",Version 1,,3/20/2024,1.5,1,1.5
SO2402-0022,MP24/02-046,CÔNG TY TNHH VIỆT NAM FUKUNAGA ENGINEERING,THATRFKN069100100069TRDU,"Vải manh PP màu trắng đục tráng ngoài, có UV; khổ 69cm; MĐ: 10.0x10.0; TL: 69g/m, dệt caro","ĐH FUKUNAGA 500 CÁI, gửi khách 4 mẫu vào ngày 11/3 để khách duyệt trước khi sx đại trà.",Version 1,,3/20/2024,1.5,1,1.5
SO2402-0022,MP24/02-046,CÔNG TY TNHH VIỆT NAM FUKUNAGA ENGINEERING,THATRFKN128100100128TRDU,"Vải manh PP màu trắng đục tráng ngoài, có UV; khổ 128cm, MĐ: 10.0x10.0; TL: 128g/m, dệt caro","ĐH FUKUNAGA 500 CÁI, gửi khách 4 mẫu vào ngày 11/3 để khách duyệt trước khi sx đại trà.",Version 1,,3/20/2024,1.5,1,1.5
SO2402-0022,MP24/02-046,CÔNG TY TNHH VIỆT NAM FUKUNAGA ENGINEERING,SOI-FKN-01,"Sợi PP, trắng đục có UV, 910D, 2.47mm.","ĐH FUKUNAGA 500 CÁI, gửi khách 4 mẫu vào ngày 11/3 để khách duyệt trước khi sx đại trà.",Version 1,,3/20/2024,1.5,1,1.5
SO2402-0022,MP24/02-046,CÔNG TY TNHH VIỆT NAM FUKUNAGA ENGINEERING,10DAI-PPDE0-01-0530,"Dây đai PP, Kích thước 5.0cm;  TL: 30g/m, màu đen","ĐH FUKUNAGA 500 CÁI, gửi khách 4 mẫu vào ngày 11/3 để khách duyệt trước khi sx đại trà.",Version 1,,3/20/2024,1.5,1,1.5
SO2402-0022,MP24/02-046,CÔNG TY TNHH VIỆT NAM FUKUNAGA ENGINEERING,03CAT-TU001-04-DAIT,"Quai treo ngược 5cm màu Đen, định vị: 10+168+10, cắt dài 188cm, TL: 56.4g/cái","ĐH FUKUNAGA 500 CÁI, gửi khách 4 mẫu vào ngày 11/3 để khách duyệt trước khi sx đại trà.",Version 1,,3/20/2024,1.5,1,1.5
SO2402-0022,MP24/02-046,CÔNG TY TNHH VIỆT NAM FUKUNAGA ENGINEERING,THACUFKN130100100106TDUV,"Vải manh PP màu trắng đục có UV; khổ 130cm; MĐ: 10.0x10.0; TL: 106.6g/m, dệt caro","ĐH FUKUNAGA 500 CÁI, gửi khách 4 mẫu vào ngày 11/3 để khách duyệt trước khi sx đại trà.",Version 1,,3/20/2024,1.5,1,1.5
SO2402-0022,MP24/02-046,CÔNG TY TNHH VIỆT NAM FUKUNAGA ENGINEERING,03CAT-TU001-06-MCN0,"Miếng che nắp khóa hình sao, trắng đục, tráng ngoài K40cmx40cm, TL: 15.92g/cái.","ĐH FUKUNAGA 500 CÁI, gửi khách 4 mẫu vào ngày 11/3 để khách duyệt trước khi sx đại trà.",Version 1,,3/20/2024,1.5,1,1.5
SO2402-0022,MP24/02-046,CÔNG TY TNHH VIỆT NAM FUKUNAGA ENGINEERING,03CAT-TU001-06-DCON,"Dây cột ống nạp, loại polyester, màu trắng, W2cm - T3.5g/m, cắt dài 120cm, TL: 4.2g/cái.","ĐH FUKUNAGA 500 CÁI, gửi khách 4 mẫu vào ngày 11/3 để khách duyệt trước khi sx đại trà.",Version 1,,3/20/2024,1.5,1,1.5
SO2402-0022,MP24/02-046,CÔNG TY TNHH VIỆT NAM FUKUNAGA ENGINEERING,09CDP-TU001-06-0000,"[Cột đáy bao-Kiểm bao-Xếp bao] Bao Jumbo thân U, trắng đục, 106x106x133cm, có in; TL: 1.5kg/cái,đáy bằng, ống nạp, túi tài liệu","ĐH FUKUNAGA 500 CÁI, gửi khách 4 mẫu vào ngày 11/3 để khách duyệt trước khi sx đại trà.",Version 1,,3/20/2024,1.5,1,1.5
SO2402-0022,MP24/02-046,CÔNG TY TNHH VIỆT NAM FUKUNAGA ENGINEERING,02MAY-TU001-06-0000,"Bao Jumbo, trắng đục, tráng ngoài 106x106x133cm, TL: 1.5kg/cái, đáy bằng, ống nạp, túi tài liệu","ĐH FUKUNAGA 500 CÁI, gửi khách 4 mẫu vào ngày 11/3 để khách duyệt trước khi sx đại trà.",Version 1,,3/20/2024,1.5,1,1.5
SO2402-0022,MP24/02-046,CÔNG TY TNHH VIỆT NAM FUKUNAGA ENGINEERING,01JBO-TU001-06-0000,"Bao Jumbo thân U, trắng đục, 106x106x133cm, có in; TL: 1.5kg/cái, đáy bằng, ống nạp, túi tài liệu (FKN)","ĐH FUKUNAGA 500 CÁI, gửi khách 4 mẫu vào ngày 11/3 để khách duyệt trước khi sx đại trà.",Version 1,,3/20/2024,1.5,1,1.5
SO2402-0022,MP24/02-046,CÔNG TY TNHH VIỆT NAM FUKUNAGA ENGINEERING,10ROP-HPWHI-01-0624,"Dây ROPE HDPE, D6mm x 24g/m, trắng đục.","ĐH FUKUNAGA 500 CÁI, gửi khách 4 mẫu vào ngày 11/3 để khách duyệt trước khi sx đại trà.",Version 1,,3/20/2024,1.5,1,1.5
SO2402-0022,MP24/02-046,CÔNG TY TNHH VIỆT NAM FUKUNAGA ENGINEERING,10DAI-POLYWHI-01-0203,Dây tape 2cm Polyester màu trắng; TL: 3.5g/m,"ĐH FUKUNAGA 500 CÁI, gửi khách 4 mẫu vào ngày 11/3 để khách duyệt trước khi sx đại trà.",Version 1,,3/20/2024,1.5,1,1.5
SO2402-0022,MP24/02-046,CÔNG TY TNHH VIỆT NAM FUKUNAGA ENGINEERING,03INC-TU001-06-THANN,"Vải thân ngắn  màu trắng, tráng ngoài. Cắt siêu biên 4cm vào trong, K128cm x 153cm, in marka: KANEKA; TL: 195.84g/cái","ĐH FUKUNAGA 500 CÁI, gửi khách 4 mẫu vào ngày 11/3 để khách duyệt trước khi sx đại trà.",Version 1,,3/20/2024,1.5,1,1.5
SO2402-0022,MP24/02-046,CÔNG TY TNHH VIỆT NAM FUKUNAGA ENGINEERING,03CAT-TU001-06-THAND,"Vải thân dài màu trắng, tráng ngoài. Cắt siêu biên 4cm vào trong, K128cm x 392cm, cắt dài 392cm, TL: 499.2g/cái.","ĐH FUKUNAGA 500 CÁI, gửi khách 4 mẫu vào ngày 11/3 để khách duyệt trước khi sx đại trà.",Version 1,,3/20/2024,1.5,1,1.5
SO2402-0022,MP24/02-046,CÔNG TY TNHH VIỆT NAM FUKUNAGA ENGINEERING,03CAT-TU001-06-THANN,"Vải thân ngắn  màu trắng, tráng ngoài. Cắt siêu biên 4cm vào trong, K128cm x 153cm, cắt dài 153cm, TL: 194.84g/cái.","ĐH FUKUNAGA 500 CÁI, gửi khách 4 mẫu vào ngày 11/3 để khách duyệt trước khi sx đại trà.",Version 1,,3/20/2024,1.5,1,1.5
