Mã phi?u,Ng??i t?o,Ngày t?o,Mã yêu c?u,Mã v?t t?,Tên v?t t?,?vt (01),S? L??NG (01),?VT (02),S? L??NG (02),NGÀY C?N,Ti?n t?,??n giá,Ti?n thu?,T?ng ti?n,Mã NCC,Tên NCC
PO08/23-037,Y Nghe Knul,8/11/2023,PR23/08-019,520010900000000,Dongwon 99-A1,CM2,10000,CM2,10000,,VND,320,320000,3200000,NCC010007,CÔNG TY TNHH ??NG THIÊN PHÁT
PO08/23-037,Y Nghe Knul,8/11/2023,PR23/08-019,520010901000000,Dongwon 100-A,CM2,10000,CM2,10000,,VND,320,320000,3200000,NCC010007,CÔNG TY TNHH ??NG THIÊN PHÁT
PO08/23-037,Y Nghe Knul,8/11/2023,PR23/08-019,520010902000000,Dongwon 101-A,CM2,10000,CM2,10000,,VND,320,320000,3200000,NCC010007,CÔNG TY TNHH ??NG THIÊN PHÁT
PO08/23-037,Y Nghe Knul,8/11/2023,PR23/08-019,520010903000000,Dongwon 102-A,CM2,10000,CM2,10000,,VND,320,320000,3200000,NCC010007,CÔNG TY TNHH ??NG THIÊN PHÁT
PO08/23-088,Y Nghe Knul,8/27/2023,PR23/08-051,520010903100000,dongwon 103-A,CM2,10000,CM2,10000,,VND,320,320000,3200000,NCC010007,CÔNG TY TNHH ??NG THIÊN PHÁT
PO08/23-055,Y Nghe Knul,8/18/2023,PR23/08-034,520010903300000,Dongwon 105-A,CM2,10000,CM2,10000,,VND,320,256000,3200000,NCC010007,CÔNG TY TNHH ??NG THIÊN PHÁT
PO09/23-054,Y Nghe Knul,9/18/2023,PR23/09-039,520010903400000,Dongwon 106-A,CM2,10000,CM2,10000,,VND,320,320000,3200000,NCC010007,CÔNG TY TNHH ??NG THIÊN PHÁT
PO09/23-037,Y Nghe Knul,9/12/2023,PR23/09-030,520010903500000,Dongwon 107-A,CM2,10000,CM2,10000,,VND,320,320000,3200000,NCC010007,CÔNG TY TNHH ??NG THIÊN PHÁT
PO09/23-054,Y Nghe Knul,9/18/2023,PR23/09-039,520010903800000,Dongwon 108-A,CM2,10000,CM2,10000,,VND,320,320000,3200000,NCC010007,CÔNG TY TNHH ??NG THIÊN PHÁT
PO09/23-054,Y Nghe Knul,9/18/2023,PR23/09-039,520010904000000,Dongwon 110-A,CM2,10000,CM2,10000,,VND,320,320000,3200000,NCC010007,CÔNG TY TNHH ??NG THIÊN PHÁT
PO09/23-054,Y Nghe Knul,9/18/2023,PR23/09-039,520010904100000,Dongwon 111-A,CM2,10000,CM2,10000,,VND,320,320000,3200000,NCC010007,CÔNG TY TNHH ??NG THIÊN PHÁT
PO09/23-037,Y Nghe Knul,9/12/2023,PR23/09-030,520010904200000,Dongwon 112-A,CM2,10000,CM2,10000,,VND,320,320000,3200000,NCC010007,CÔNG TY TNHH ??NG THIÊN PHÁT
PO09/23-037,Y Nghe Knul,9/12/2023,PR23/09-030,520010904300000,Dongwon 113-A,CM2,10000,CM2,10000,,VND,320,320000,3200000,NCC010007,CÔNG TY TNHH ??NG THIÊN PHÁT
PO09/23-037,Y Nghe Knul,9/12/2023,PR23/09-030,520010904400000,Dongwon 114-A,CM2,20000,CM2,20000,,VND,320,640000,6400000,NCC010007,CÔNG TY TNHH ??NG THIÊN PHÁT
PO09/23-054,Y Nghe Knul,9/18/2023,PR23/09-039,520010904500000,Dongwon 115-A,CM2,10000,CM2,10000,,VND,320,320000,3200000,NCC010007,CÔNG TY TNHH ??NG THIÊN PHÁT
PO09/23-054,Y Nghe Knul,9/18/2023,PR23/09-039,520010904600000,Dongwon 116-A,CM2,10000,CM2,10000,,VND,320,320000,3200000,NCC010007,CÔNG TY TNHH ??NG THIÊN PHÁT
PO09/23-054,Y Nghe Knul,9/18/2023,PR23/09-039,520010904700000,Dongwon 117-A,CM2,10000,CM2,10000,,VND,320,320000,3200000,NCC010007,CÔNG TY TNHH ??NG THIÊN PHÁT
PO09/23-054,Y Nghe Knul,9/18/2023,PR23/09-039,520010904800000,Dongwon 118-A,CM2,10000,CM2,10000,,VND,320,320000,3200000,NCC010007,CÔNG TY TNHH ??NG THIÊN PHÁT
PO09/23-037,Y Nghe Knul,9/12/2023,PR23/09-030,520010904900000,Dongwon 119-A,CM2,10000,CM2,10000,,VND,320,320000,3200000,NCC010007,CÔNG TY TNHH ??NG THIÊN PHÁT
PO09/23-079,Y Nghe Knul,9/21/2023,PR23/09-064,5200109060000000,Dongwon 122-A,CM2,10000,CM2,10000,,VND,320,320000,3200000,NCC010007,CÔNG TY TNHH ??NG THIÊN PHÁT
PO03/24-067,Nguy?n Th? ?ào,3/26/2024,PR24/03-071,5200110840000000,Kìm b?m cos m?ng RJ11/12 và RJ45,CAI,40,CAI,40,,VND,9000,0,360000,NCC010053,TR?N H?U THÀNH _ V?T T? NHÀ MÁY
PO07/24-011,Nguy?n Th? ?ào,7/4/2024,PR24/07-013,5300101541000000,Tro tr?u,BAO,10,BAO,10,,VND,10000,0,100000,NV041,Võ Công V?
PO05/24-095,Nguy?n Th? ?ào,5/29/2024,PR24/05-079,5300101542000000,S? d?a,BAO,100,BAO,100,,VND,36000,0,3600000,NV041,Võ Công V?
PO03/24-063,Nguy?n Th? ?ào,3/22/2024,PR24/03-059,5300101542000000,S? d?a,BAO,150,BAO,150,,VND,21000,0,3150000,NCC010053,TR?N H?U THÀNH _ V?T T? NHÀ MÁY
