Ngày SX,Tên máy,Ca,Tên TT,Tên TP,Đơn hàng,Số KHTK,LSX,Mã Sợi,Tên Sợi,Số lượng sợi yêu cầu,Số lượng phế theo bom,Số lượng sợi đạt,Số lượng sợi tạm nhập,Số lượng sợi phế,Số lượng sợi chênh lệch với KH,Số lượng phế chênh lệch với KH,Đánh giá % sợi,Đánh giá % phế,Đánh giá
45092,SOI8,Ngày,,,SO2303-0019,MP2304-0008,LSX05/23-019,SOI-DVA-01,"Sợi PP, màu vàng (EMH 22268) , 2.55mm, 1010D.",0,0,0,124.3,0,-124.3,0,,,Không đạt
45092,SOI8,Ngày,,,SO2303-0019,MP2304-0008,LSX05/23-019,SOI-DVA-01,"Sợi PP, màu vàng (EMH 22268) , 2.55mm, 1010D.",0,0,455,0,18,-455,-18,,,Không đạt
45093,SOI8,Đêm,,,SO2303-0019,MP2304-0008,LSX05/23-019,SOI-DVA-01,"Sợi PP, màu vàng (EMH 22268) , 2.55mm, 1010D.",0,0,821.4,0,45,-821.4,-45,,,Không đạt
45089,SOI8,Đêm,,,SO2303-0019,MP2304-0008,LSX05/23-019,SOI-DVA-02,"Sợi PP, màu vàng (EMH 22268) , 3.0mm, 1010D.",0,0,4176.8,0,22,-4176.8,-22,,,Không đạt
45089,SOI8,Ngày,,,SO2303-0019,MP2304-0008,LSX05/23-019,SOI-DVA-02,"Sợi PP, màu vàng (EMH 22268) , 3.0mm, 1010D.",0,0,0,194.3,0,-194.3,0,,,Không đạt
45089,SOI8,Ngày,,,SO2303-0019,MP2304-0008,LSX05/23-019,SOI-DVA-02,"Sợi PP, màu vàng (EMH 22268) , 3.0mm, 1010D.",0,0,770.3,0,0,-770.3,0,,,Không đạt
45089,SOI8,Ngày,,,SO2303-0019,MP2304-0008,LSX05/23-019,SOI-DVA-02,"Sợi PP, màu vàng (EMH 22268) , 3.0mm, 1010D.",0,0,224.3,0,0,-224.3,0,,,Không đạt
45094,SOI8,Đêm,,,SO2305-0011,MP2305-0034,LSX05/23-048,SOI-DVA-03,"Sợi PP, màu vàng (EMH 22269) , 2.6mm, 830D.",0,0,780.6,0,0,-780.6,0,,,Không đạt
45185,SOI8,Ngày,,,SO2308-0013,MP23/08-028,LSX08/23-027,SOI-DVA-03,"Sợi PP, màu vàng (EMH 22269) , 2.6mm, 830D.",0,0,577.19,0,40,-577.19,-40,,,Không đạt
45185,SOI8,Ngày,,,SO2309-0033,MP23/09-034,LSX09/23-022,SOI-DVA-03,"Sợi PP, màu vàng (EMH 22269) , 2.6mm, 830D.",0,0,821.80700000000002,0,0,-821.80700000000002,0,,,Không đạt
45169,SOI8,Đêm,,,SO2305-0026,MP2305-0045,LSX06/23-041,SOI-DXL-01,"Sợi PP, màu xanh lá, 770D (cũ 830D), 2.60mm.",0,0,229.4,0,0,-229.4,0,,,Không đạt
45169,SOI8,Đêm,,,SO2308-0013,MP23/08-028,LSX08/23-027,SOI-DXL-01,"Sợi PP, màu xanh lá, 770D (cũ 830D), 2.60mm.",1542,40.091999999999999,247.58,0,0,1294.42,40.091999999999999,0.16055771725032425,0,Không đạt
45169,SOI8,Đêm,,,SO2308-0012,MP23/08-027,LSX08/23-027,SOI-DXL-01,"Sợi PP, màu xanh lá, 770D (cũ 830D), 2.60mm.",1542,40.091999999999999,44.426000000000002,0,0,1497.5740000000001,40.091999999999999,0.028810635538261999,0,Không đạt
45169,SOI8,Đêm,,,SO2308-0013,MP23/08-028,LSX08/23-027,SOI-DXL-01,"Sợi PP, màu xanh lá, 770D (cũ 830D), 2.60mm.",1542,40.091999999999999,769.59,0,36,772.41,4.0919999999999996,0.49908560311284045,0.89793400000000001,Không đạt
45089,SOI1,Đêm,,,SO2305-0026,MP2305-0040,LSX06/23-041,SOI-DXL-01,"Sợi PP, màu xanh lá, 770D (cũ 830D), 2.60mm.",0,0,211.4,0,47,-211.4,-47,,,Không đạt
45089,SOI1,Ngày,,,SO2305-0026,MP2305-0040,LSX06/23-041,SOI-DXL-01,"Sợi PP, màu xanh lá, 770D (cũ 830D), 2.60mm.",0,0,912.9,0,36,-912.9,-36,,,Không đạt
45099,SOI1,Đêm,,,SO2305-0026,MP2305-0045,LSX06/23-041,SOI-DXL-01,"Sợi PP, màu xanh lá, 770D (cũ 830D), 2.60mm.",0,0,279,0,9,-279,-9,,,Không đạt
45099,SOI1,Đêm,,,SO2305-0026,MP2305-0045,LSX06/23-041,SOI-DXL-01,"Sợi PP, màu xanh lá, 770D (cũ 830D), 2.60mm.",0,0,0,64,0,-64,0,,,Không đạt
45169,SOI8,Ngày,,,SO2305-0026,MP2305-0045,LSX06/23-041,SOI-DXL-01,"Sợi PP, màu xanh lá, 770D (cũ 830D), 2.60mm.",0,0,251.5,0,20,-251.5,-20,,,Không đạt
45169,SOI7,Ngày,,,SO2308-0031,MP23/08-056,LSX08/23-051,SOI-ECL5-1,"Sợi PP, trắng đục, 850D, 3.33mm. [19.50%]",3420,49.59,2728.9,0,3,691.1,46.59,0.79792397660818715,0.060496000000000001,Không đạt
45161,SOI8,Đêm,,,SO2308-0031,MP23/08-056,LSX08/23-051,SOI-ECL5-1,"Sợi PP, trắng đục, 850D, 3.33mm. [19.50%]",3420,49.59,1271.9,0,18,2148.1,31.59,0.37190058479532162,0.36297600000000002,Không đạt
45160,SOI8,Ngày,,,SO2308-0031,MP23/08-056,LSX08/23-051,SOI-ECL5-1,"Sợi PP, trắng đục, 850D, 3.33mm. [19.50%]",3420,49.59,369.4,0,15,3050.6,34.59,0.10801169590643275,0.30248000000000003,Không đạt
45160,SOI8,Ngày,,,SO2308-0031,MP23/08-056,LSX08/23-051,SOI-ECL5-1,"Sợi PP, trắng đục, 850D, 3.33mm. [19.50%]",3420,49.59,0,97.4,0,3322.6,49.59,0.028479532163742691,0,Không đạt
45160,SOI8,Đêm,,,SO2308-0031,MP23/08-056,LSX08/23-051,SOI-ECL5-1,"Sợi PP, trắng đục, 850D, 3.33mm. [19.50%]",3420,49.59,2211.48,0,27,1208.52,22.59,0.64663157894736845,0.54446399999999995,Không đạt
45160,SOI8,Đêm,,,SO2308-0031,MP23/08-056,LSX08/23-051,SOI-ECL5-1,"Sợi PP, trắng đục, 850D, 3.33mm. [19.50%]",3420,49.59,1195.42,0,0,2224.58,49.59,0.34953801169590643,0,Không đạt
45161,SOI8,Ngày,,,SO2308-0031,MP23/08-056,LSX08/23-051,SOI-ECL5-1,"Sợi PP, trắng đục, 850D, 3.33mm. [19.50%]",3420,49.59,2960.7,0,2,459.3,47.59,0.86570175438596486,0.040329999999999998,Không đạt
45104,SOI8,Ngày,,,SO2306-0027,MP23/06-042,LSX06/23-106,SOI-ECL5-1,"Sợi PP, trắng đục, 850D, 3.33mm. [19.50%]",4041,58.594499999999996,2076.7,0,23,1964.3,35.594499999999996,0.51390744865132398,0.39252799999999999,Không đạt
45105,SOI8,Ngày,,,SO2306-0027,MP23/06-042,LSX06/23-106,SOI-ECL5-1,"Sợi PP, trắng đục, 850D, 3.33mm. [19.50%]",0,0,409,0,0,-409,0,,,Không đạt
45104,SOI8,Đêm,,,SO2306-0027,MP23/06-042,LSX06/23-106,SOI-ECL5-1,"Sợi PP, trắng đục, 850D, 3.33mm. [19.50%]",4041,58.594499999999996,3609.8,0,3,431.2,55.594499999999996,0.89329373917347188,0.051199000000000001,Không đạt
45096,SOI7,Ngày,,,SO2306-0027,MP23/06-042,LSX06/23-106,SOI-ECL5-1,"Sợi PP, trắng đục, 850D, 3.33mm. [19.50%]",0,0,930.56,0,0,-930.56,0,,,Không đạt
