Mã phiếu,Người tạo,Ngày tạo,Mã yêu cầu,Mã vật tư,Tên vật tư,Đvt (01),SỐ LƯỢNG (01),ĐVT (02),SỐ LƯỢNG (02),NGÀY CẦN,Tiền tệ,Đơn giá,Tiền thuế,Tổng tiền,Tên NCC,Mã NCC
PO11/24-056,Thái Nguyễn Minh Quyết,11/16/2024,PR24/11-059,0908600780000000,Bộ nguồn power supply ps3050- input AC 2-3pha 400-500V. Output DC24V-5A,CAI,3,CAI,3,,VND,1,0,3,"CÔNG TY STARLINGER PLASTICS MACHINERY (Taicang) CO., LTD",NCC020011
PO11/24-030,Nguyễn Thị Đào,11/13/2024,PR24/11-021,0906802020000000,Bộ sàng biên thủy lực TOUGU DENKI,BO,1,BO,1,,VND,1,0,1,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO11/24-025,Thái Nguyễn Minh Quyết,11/12/2024,PR24/11-030,9045002480000212,Bộ xếp 3 Máy sợi KT: 940x2230x2452mm,BO,1,BO,1,,USD,20000,0,20000,"Changzhou United Win Pack Co., Ltd",NCC020024
PO11/24-030,Nguyễn Thị Đào,11/13/2024,PR24/11-021,0905600400000000,Bobbin sensor MODEL : BP150-L2 - 24VDC - NPN.,Cái,5,Cái,5,,VND,2000000,0,10000000,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO11/24-028,Nguyễn Thị Đào,11/13/2024,PR24/11-028,0902211090000000,Bóng đèn đuôi E27 - 5W - Ánh sáng Vàng.,CAI,150,CAI,150,,VND,19000,0,2850000,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO11/24-028,Nguyễn Thị Đào,11/13/2024,PR24/11-028,0902202870000000,BÓNG ĐÈN ĐUÔI E27 40W - ánh sáng vàng.,CAI,6,CAI,6,,VND,65000,0,390000,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO10/24-038,Nguyễn Thị Đào,10/11/2024,PR24/10-037,0902202890000000,Bóng đèn led Philips TForce 40W - E27.,CAI,40,CAI,40,,VND,138000,0,5520000,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO10/24-051,Nguyễn Thị Đào,10/16/2024,PR24/10-055,0902202890000000,Bóng đèn led Philips TForce 40W - E27.,CAI,40,CAI,40,,VND,138000,0,5520000,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO11/24-046,Nguyễn Thị Đào,11/15/2024,PR24/11-051,520011910000000,BỘT MÌ 28-40KG,CM2,10000,CM2,10000,,VND,290,232000,2900000,CÔNG TY TNHH CHÍNH KIỆT,NCC010204
PO10/24-071,Nguyễn Thị Đào,10/21/2024,PR24/10-073,0901300020000000,BU LONG 10X25,CAI,100,CAI,100,,VND,900,0,90000,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO10/24-071,Nguyễn Thị Đào,10/21/2024,PR24/10-073,0901300140000000,BU LONG 8X25,CAI,100,CAI,100,,VND,800,0,80000,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO11/24-007,Nguyễn Thị Đào,11/2/2024,PR24/11-001,0901200630000000,Bu lông lục giác trụ M4X10,CAI,300,CAI,300,,VND,534,0,160200,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO10/24-071,Nguyễn Thị Đào,10/21/2024,PR24/10-073,0901301820000000,Bu Long M12x30,CON,100,CON,100,,VND,1600,0,160000,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO10/24-097,Thái Nguyễn Minh Quyết,10/29/2024,PR24/10-097,0923700620000000,Bulong (SCREW ) mã : Z4R - 13849.,CAI,100,CAI,100,,VND,1,0,100,"Changzhou United Win Pack Co., Ltd",NCC020024
PO10/24-097,Thái Nguyễn Minh Quyết,10/29/2024,PR24/10-097,0923700380000000,Bulong HEXAGON RAISED - HEAD SCREW M4X6 ( Mã: ANSE - 03070),CAI,200,CAI,200,,VND,1,0,200,"Changzhou United Win Pack Co., Ltd",NCC020024
PO10/24-035,Nguyễn Thị Đào,10/11/2024,PR24/10-042,0901301660000000,Bulong lục giác đầu tròn M6x10mm,CAI,30,CAI,30,,VND,1000,0,30000,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO10/24-035,Nguyễn Thị Đào,10/11/2024,PR24/10-039,0901301770000000,Bulong lục giác trụ M12x50mm,CAI,20,CAI,20,,VND,5000,0,100000,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO11/24-038,Nguyễn Thị Đào,11/13/2024,PR24/11-041,0901301900000000,Bulong M10x25mm.,CAI,250,CAI,250,,VND,1,0,250,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
