Mã số,Mặt hàng,Đơn vị tính 1,SL Đầu kỳ 1,Giá trị đầu kỳ 1,SL Nhập 1,Giá trị Nhập 1,SL Xuất 1,Giá trị xuất 1,SL Tồn 1,Giá trị tồn 1,Đơn vị tính 2,SL Đầu kỳ 2,SL Nhập 2,SL Xuất 2,SL Tồn 2,Date
0900500090000000,BÁT TĂNG ĐƯA LÒ XO YẾM THOI (SPRING SHET CHER-P) MÃ : 11407153000,CAI,34,357000,0,0,0,0,34,357000,CAI,34,0,0,34,17/09/2024
0900500120000000,Bát càng + gối đỡ đầu dù trước CS.,CAI,5,198240,0,0,0,0,5,198240,CAI,5,0,0,5,17/09/2024
0900500160000000,BÁT GIỮ YẾM THOI DS PHẢI,CAI,79,11850000,0,0,0,0,79,11850000,CAI,79,0,0,79,17/09/2024
0900500170000000,BÁT ĐỠ KIM MÁY MAY 3W,CAI,3,474000,0,0,0,0,3,474000,CAI,3,0,0,3,17/09/2024
0900500180000000,BÁT KẸP ỐNG PHI 20,CAI,200,260000,0,0,0,0,200,260000,CAI,200,0,0,200,17/09/2024
0900500290000000,Bát móc lò xo càng bù RX6.1. Mã: Z4C-05384,CAI,30,1123920,0,0,0,0,30,1123920,CAI,30,0,0,30,17/09/2024
0900500300000000,Bát giữ yếm thoi RX6.1 và RX8 Mã; Z3U-02035,CAI,276,3262254,0,0,0,0,276,3262254,CAI,276,0,0,276,17/09/2024
0900500310000000,Bát tăng đưa lò xo yếm thoi RX6.1 và RX8.0 Mã: Z3I-06361A,CAI,35,117105,0,0,0,0,35,117105,CAI,35,0,0,35,17/09/2024
0900500330000000,Bát gọng thoi dưới RX6.1 Mã: Z4U-02828,CAI,75,434850,0,0,0,0,75,434850,CAI,75,0,0,75,17/09/2024
0900500340000000,Bát gọng thoi trước RX6.1 Mã: Z2U-02502,CAI,52,878800,0,0,0,0,52,878800,CAI,52,0,0,52,17/09/2024
0900500350000000,Bát trụ kim máy may newlong 032171,CAI,2,284000,0,0,0,0,2,284000,CAI,2,0,0,2,17/09/2024
0900500420000000,Pad nhựa càng bù trước HENGLY mã: 850X6-02.3.1,CAI,50,1644920,0,0,0,0,50,1644920,CAI,50,0,0,50,17/09/2024
0900500430000000,Pad nhựa càng bù sau HENGLY mã: 850X6-02.10-3,CAI,70,3467666,0,0,0,0,70,3467666,CAI,70,0,0,70,17/09/2024
0900500480000000,Bát đở thanh rãi chỉ DS (theo bản vẽ),CAI,315,5355000,0,0,0,0,315,5355000,CAI,315,0,0,315,17/09/2024
0900500490000000,BÁT GiẢM ĐƯA CAM,CAI,30,4500000,0,0,0,0,30,4500000,CAI,30,0,0,30,17/09/2024
0900500640000000,Cầu Đấu Chia Dây Điện Aptomat FG9,CAI,8,1000000,0,0,0,0,8,1000000,CAI,8,0,0,8,17/09/2024
0900600100000000,Bản lề lá  (127x76x3mm),CAI,6,530000,0,0,0,0,6,530000,CAI,6,0,0,6,17/09/2024
0901000040000000,"Ống sắt thu sợi máy LH, màu Đen, phi trong 35mm, dày 1.5mm, phi ngoài 38mm, dài 218mm.",KG,234.5,0,0,0,0,0,234.5,0,CAI,770,0,0,770,17/09/2024
0901000260000000,"Ống điện trở nhiệt  220Vac - 200W, phi 12.30mm - dài 80mm,",CAI,20,1600000,0,0,0,0,20,1600000,CAI,20,0,0,20,17/09/2024
0901000330000000,Dây cáp DVP CAB 215 ( theo mẫu ),SOI,3,840000,0,0,0,0,3,840000,SOI,3,0,0,3,17/09/2024
0901100010000000,bạc đạn NU2207,CAI,2,1791000,0,0,0,0,2,1791000,CAI,2,0,0,2,17/09/2024
0901100020000000,bạc đạn NU2206,CAI,4,3233600,0,0,0,0,4,3233600,CAI,4,0,0,4,17/09/2024
0901100030000000,bạc đạn NU2210,CAI,4,3360000,0,0,0,0,4,3360000,CAI,4,0,0,4,17/09/2024
0901100040000000,bạc đạn 3309 A2RS1,CAI,1,2328150,0,0,0,0,1,2328150,CAI,1,0,0,1,17/09/2024
0901100050000000,bạc đạn UC 211,CAI,2,520000,0,0,0,0,2,520000,CAI,2,0,0,2,17/09/2024
0901100060000000,bạc đạn 2201,CAI,5,1634092,0,0,0,0,5,1634092,CAI,5,0,0,5,17/09/2024
0901100070000000,BẠC ĐẠN 1206,CAI,18,3924000,0,0,0,0,18,3924000,CAI,18,0,0,18,17/09/2024
0901100080000000,BẠC ĐẠN 1208,CAI,10,700000,0,0,0,0,10,700000,CAI,10,0,0,10,17/09/2024
0901100090000000,BẠC ĐẠN 2206,CAI,9,630000,0,0,0,0,9,630000,CAI,9,0,0,9,17/09/2024
0901100110000000,BẠC ĐẠN 22216,CAI,3,5100000,0,0,0,0,3,5100000,CAI,3,0,0,3,17/09/2024
0901100120000000,BẠC ĐẠN 22218,CAI,3,6885000,0,0,0,0,3,6885000,CAI,3,0,0,3,17/09/2024
0901100130000000,BẠC ĐẠN 30205,CAI,5,350000,0,0,0,0,5,350000,CAI,5,0,0,5,17/09/2024
0901100140000000,BẠC ĐẠN 30210,CAI,1,70000,0,0,0,0,1,70000,CAI,1,0,0,1,17/09/2024
0901100150000000,BẠC ĐẠN 30213,CAI,1,70000,0,0,0,0,1,70000,CAI,1,0,0,1,17/09/2024
0901100160000000,BẠC ĐẠN 5308DC3P5,CAI,1,70000,0,0,0,0,1,70000,CAI,1,0,0,1,17/09/2024
0901100170000000,Bạc đạn SKF 6000-2Z/C3,CAI,584,12848000,0,0,40,880000,544,11968000,CAI,584,0,40,544,17/09/2024
0901100180000000,BẠC ĐẠN 6001,CAI,670,15410000,0,0,40,920000,630,14490000,CAI,670,0,40,630,17/09/2024
0901100220000000,BẠC ĐẠN 6004(KHÔNG BÍT),CAI,6,420000,0,0,0,0,6,420000,CAI,6,0,0,6,17/09/2024
0901100230000000,BẠC ĐẠN 6005,CAI,156,7488000,0,0,0,0,156,7488000,CAI,156,0,0,156,17/09/2024
0901100240000000,BẠC ĐẠN 6006,CAI,10,640000,0,0,0,0,10,640000,CAI,10,0,0,10,17/09/2024
0901100250000000,BẠC ĐẠN 6008,CAI,191,15205584,0,0,0,0,191,15205584,CAI,191,0,0,191,17/09/2024
0901100260000000,BẠC ĐẠN 6009,CAI,19,2736000,0,0,0,0,19,2736000,CAI,19,0,0,19,17/09/2024
0901100270000000,Bạc đạn SKF 6010 - 2Z/C3,CAI,22,3300000,0,0,0,0,22,3300000,CAI,22,0,0,22,17/09/2024
0901100280000000,BẠC ĐẠN 6011,CAI,10,2930000,0,0,0,0,10,2930000,CAI,10,0,0,10,17/09/2024
0901100290000000,BẠC ĐẠN 30206,CAI,3,905000,0,0,0,0,3,905000,CAI,3,0,0,3,17/09/2024
0901100300000000,BẠC ĐẠN 6012Z,CAI,15,3750000,0,0,0,0,15,3750000,CAI,15,0,0,15,17/09/2024
0901100310000000,BẠC ĐẠN 6013,CAI,5,1370000,0,0,0,0,5,1370000,CAI,5,0,0,5,17/09/2024
